id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
e064da66-637b-4f61-bdf1-e3edb6ae50dc,21,M,464,453,3,0,8,1172.0,838.73333,478.00833,401.16667,375.15667,340.82708,324.75833,309.54417,296.33778,10.09477,6.20094,5.36791,5.11643,4.89815,799,13.206611570247935,611,10.099173553719009,401,6.628099173553719,376,6.214876033057851,345,5.702479338842975,314,5.190082644628099,60.49978448275862,0.010389649305479462
3359428c-7cfb-40d4-915a-2a82db93fd41,40,M,387,236,143,6,2,1071.0,937.78193,367.51667,337.53333,333.81,296.88958,292.10333,288.99917,247.41667,8.21734,5.4278,4.74965,4.69917,4.02304,831,13.512195121951219,505,8.211382113821138,338,5.495934959349594,333,5.414634146341464,311,5.056910569105691,290,4.715447154471545,61.26614987080104,0.24980076676505247
3e890396-22e7-4712-9955-726905d029ad,50,M,651,641,8,0,2,1588.0,1271.05133,457.41669,390.96057,305.20333,280.26667,268.545,243.6825,234.97167,7.32728,3.39115,2.98383,2.70758,2.6108,1182,13.133333333333333,659,7.322222222222222,391,4.344444444444444,345,3.8333333333333335,284,3.1555555555555554,259,2.8777777777777778,90.0,0.0
446eab64-45ff-43d3-953b-901b0b8e9890,66,M,42,42,0,0,0,641.0,501.46667,287.1,280.36667,275.58667,243.58542,225.42167,201.71917,190.90833,4.52095,3.93695,3.22031,2.8817,2.72726,441,6.3,316,4.514285714285714,280,4.0,278,3.9714285714285715,245,3.5,218,3.1142857142857143,70.0,0.0
9ea85e0d-883e-4afd-8746-cb9b9fb2bd79,63,M,33,31,2,0,0,1000.0,937.80207,418.87442,389.22316,347.4014,289.89851,263.09939,234.39408,213.57854,10.04767,5.1851,3.92686,3.49842,3.18774,879,13.119402985074627,673,10.044776119402986,389,5.8059701492537314,394,5.880597014925373,292,4.358208955223881,259,3.8656716417910446,67.0,0.0
049f3e1d-963d-4cc8-ad2d-e0149b516a01,27,M,229,221,7,0,1,712.0,656.06667,308.49167,304.61667,300.90333,295.35,294.38167,291.74417,292.25556,5.6963,4.17921,4.08863,4.052,4.0591,562,7.805555555555555,410,5.694444444444445,305,4.236111111111111,302,4.194444444444445,296,4.111111111111111,294,4.083333333333333,72.0,0.0
0e193466-ecd3-45c6-8cbf-f2f168393893,35,M,407,158,132,92,25,2089.0,579.26667,342.88333,328.96111,312.71667,294.7125,282.58333,251.21667,239.50611,5.02156,4.16956,3.76778,3.34956,3.19341,526,7.013333333333334,377,5.026666666666666,329,4.386666666666667,319,4.253333333333333,297,3.96,277,3.6933333333333334,75.0,0.0
36786c25-cb0e-4ab9-9706-53d766e0299c,-50,M,360,359,0,0,1,1171.0,824.96667,419.0,397.87778,350.43167,321.43542,315.00167,291.462,284.985,7.20771,4.3804,3.93752,3.64327,3.56231,778,9.725,577,7.2125,398,4.975,375,4.6875,323,4.0375,304,3.8,80.0,0.0
78926b80-f0bc-4050-bf96-6198980d9616,47,M,474,474,0,0,0,1850.0,873.26667,448.80833,428.64444,417.21,401.75,379.295,359.325,346.78833,6.87067,5.5628,5.05727,4.791,4.62384,833,11.106666666666667,515,6.866666666666666,429,5.72,420,5.6,406,5.413333333333333,373,4.973333333333334,75.0,0.0
11adb524-cb8d-48b8-98b2-002cfb3bccf1,59,M,11,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01711999999999,1.4904470165364382e-14
